LLM_Input
"The Apple 13-inch MacBook Air (M1 CPU) 256GB - 2020 (Workplace) has a total estimated carbon footprint of 161.0 kgCO₂eq over its 3.0 years of use. About 15.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 76.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 256GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell OptiPlex XE2 Small Form Factor (Workplace) has a total estimated carbon footprint of 537.0 kgCO₂eq over its 4.0 years of use. About 53.80% of this impact comes from the usage phase, with an estimated yearly energy demand of 151.07 kWh. The device is used mainly in EU and was assembled in EU. The manufacturing phase contributes 41.40% to the total emissions. The device weighs 6.0 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell OptiPlex XE3 Small Form Factor (Workplace) has a total estimated carbon footprint of 451.0 kgCO₂eq over its 4.0 years of use. About 46.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 96.9 kWh. The device is used mainly in EU and was assembled in EU. The manufacturing phase contributes 48.90% to the total emissions. The device weighs 5.24 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell OptiPlex XE3 Tower (Workplace) has a total estimated carbon footprint of 509.0 kgCO₂eq over its 4.0 years of use. About 50.80% of this impact comes from the usage phase, with an estimated yearly energy demand of 121.18 kWh. The device is used mainly in EU and was assembled in EU. The manufacturing phase contributes 43.60% to the total emissions. The device weighs 6.5 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell OptiPlex XE4 Small Form Factor (Workplace) has a total estimated carbon footprint of 360.0 kgCO₂eq over its 4.0 years of use. About 26.90% of this impact comes from the usage phase, with an estimated yearly energy demand of 48.77 kWh. The device is used mainly in EU and was assembled in EU. The manufacturing phase contributes 67.50% to the total emissions. The device weighs 4.201 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell OptiPlex XE4 Tower (Workplace) has a total estimated carbon footprint of 431.0 kgCO₂eq over its 4.0 years of use. About 22.70% of this impact comes from the usage phase, with an estimated yearly energy demand of 49.22 kWh. The device is used mainly in EU and was assembled in EU. The manufacturing phase contributes 70.70% to the total emissions. The device weighs 5.828 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P1914S Monitor (Workplace) has a total estimated carbon footprint of 491.0 kgCO₂eq over its 6.0 years of use. About 24.60% of this impact comes from the usage phase, with an estimated yearly energy demand of 38.5 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 67.90% to the total emissions. The device weighs 5.12 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P1917S Monitor (without stand) (Workplace) has a total estimated carbon footprint of 410.0 kgCO₂eq over its 6.0 years of use. About 22.30% of this impact comes from the usage phase, with an estimated yearly energy demand of 29.08 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 71.50% to the total emissions. The device weighs 3.24 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P1917S Monitor (Workplace) has a total estimated carbon footprint of 433.0 kgCO₂eq over its 6.0 years of use. About 19.20% of this impact comes from the usage phase, with an estimated yearly energy demand of 26.4405 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 71.40% to the total emissions. The device weighs 5.97 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P1917SWH Monitor (Workplace) has a total estimated carbon footprint of 441.0 kgCO₂eq over its 6.0 years of use. About 18.80% of this impact comes from the usage phase, with an estimated yearly energy demand of 26.4405 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 72.00% to the total emissions. The device weighs 5.97 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2017H Monitor (Workplace) has a total estimated carbon footprint of 422.0 kgCO₂eq over its 6.0 years of use. About 19.70% of this impact comes from the usage phase, with an estimated yearly energy demand of 26.4405 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 71.30% to the total emissions. The device weighs 5.66 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2018H Monitor (Workplace) has a total estimated carbon footprint of 428.0 kgCO₂eq over its 6.0 years of use. About 20.70% of this impact comes from the usage phase, with an estimated yearly energy demand of 28.3 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 70.30% to the total emissions. The device weighs 5.682 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2217 Monitor (Workplace) has a total estimated carbon footprint of 479.0 kgCO₂eq over its 6.0 years of use. About 23.50% of this impact comes from the usage phase, with an estimated yearly energy demand of 35.8155 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 67.00% to the total emissions. The device weighs 7.03 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2217H Monitor (Workplace) has a total estimated carbon footprint of 468.0 kgCO₂eq over its 6.0 years of use. About 22.80% of this impact comes from the usage phase, with an estimated yearly energy demand of 33.9405 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 68.70% to the total emissions. The device weighs 5.36 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2217WH Monitor (Workplace) has a total estimated carbon footprint of 487.0 kgCO₂eq over its 6.0 years of use. About 23.20% of this impact comes from the usage phase, with an estimated yearly energy demand of 35.8115 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 66.70% to the total emissions. The device weighs 6.957 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2219H Monitor (Workplace) has a total estimated carbon footprint of 472.0 kgCO₂eq over its 6.0 years of use. About 22.60% of this impact comes from the usage phase, with an estimated yearly energy demand of 33.9 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 68.60% to the total emissions. The device weighs 5.9726 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2219HC Monitor (Workplace) has a total estimated carbon footprint of 487.0 kgCO₂eq over its 6.0 years of use. About 21.90% of this impact comes from the usage phase, with an estimated yearly energy demand of 33.9 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 68.90% to the total emissions. The device weighs 6.4726 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2222H Monitor (without stand) (Workplace) has a total estimated carbon footprint of 463.0 kgCO₂eq over its 6.0 years of use. About 24.30% of this impact comes from the usage phase, with an estimated yearly energy demand of 36.14 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 70.30% to the total emissions. The device weighs 2.82 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2222H Monitor (Workplace) has a total estimated carbon footprint of 481.0 kgCO₂eq over its 6.0 years of use. About 23.70% of this impact comes from the usage phase, with an estimated yearly energy demand of 36.14 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 69.10% to the total emissions. The device weighs 4.57 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2223HC Monitor (Workplace) has a total estimated carbon footprint of 544.0 kgCO₂eq over its 6.0 years of use. About 24.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 38.7 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 64.50% to the total emissions. The device weighs 4.64 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2317H Monitor (Workplace) has a total estimated carbon footprint of 493.0 kgCO₂eq over its 6.0 years of use. About 22.90% of this impact comes from the usage phase, with an estimated yearly energy demand of 35.8155 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 66.90% to the total emissions. The device weighs 7.32 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2319H Monitor (Workplace) has a total estimated carbon footprint of 519.0 kgCO₂eq over its 6.0 years of use. About 19.40% of this impact comes from the usage phase, with an estimated yearly energy demand of 32.1 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 69.50% to the total emissions. The device weighs 8.766 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2415Q Monitor (Workplace) has a total estimated carbon footprint of 606.0 kgCO₂eq over its 6.0 years of use. About 30.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 57.8955 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 59.60% to the total emissions. The device weighs 8.35 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2417H Monitor (Workplace) has a total estimated carbon footprint of 468.0 kgCO₂eq over its 6.0 years of use. About 23.40% of this impact comes from the usage phase, with an estimated yearly energy demand of 34.7 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 66.60% to the total emissions. The device weighs 6.746 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2418D Monitor (Workplace) has a total estimated carbon footprint of 510.0 kgCO₂eq over its 6.0 years of use. About 24.50% of this impact comes from the usage phase, with an estimated yearly energy demand of 39.5655 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 65.60% to the total emissions. The device weighs 7.335 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2418HT Monitor (Workplace) has a total estimated carbon footprint of 463.0 kgCO₂eq over its 6.0 years of use. About 24.40% of this impact comes from the usage phase, with an estimated yearly energy demand of 35.8155 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 69.80% to the total emissions. The device weighs 2.894 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2418HZ Monitor (Workplace) has a total estimated carbon footprint of 504.0 kgCO₂eq over its 6.0 years of use. About 23.40% of this impact comes from the usage phase, with an estimated yearly energy demand of 37.6905 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 66.20% to the total emissions. The device weighs 7.407 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2418HZM Monitor (Workplace) has a total estimated carbon footprint of 505.0 kgCO₂eq over its 6.0 years of use. About 23.50% of this impact comes from the usage phase, with an estimated yearly energy demand of 37.7 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 66.00% to the total emissions. The device weighs 7.457 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2419H Monitor (Workplace) has a total estimated carbon footprint of 505.0 kgCO₂eq over its 6.0 years of use. About 22.30% of this impact comes from the usage phase, with an estimated yearly energy demand of 35.8 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 68.30% to the total emissions. The device weighs 6.7426 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2419HC Monitor (without stand) (Workplace) has a total estimated carbon footprint of 476.0 kgCO₂eq over its 6.0 years of use. About 22.70% of this impact comes from the usage phase, with an estimated yearly energy demand of 34.6 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 71.10% to the total emissions. The device weighs 3.52 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2419HC Monitor (Workplace) has a total estimated carbon footprint of 499.0 kgCO₂eq over its 6.0 years of use. About 22.60% of this impact comes from the usage phase, with an estimated yearly energy demand of 35.8 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 67.70% to the total emissions. The device weighs 7.0126 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2421 Monitor (Workplace) has a total estimated carbon footprint of 475.0 kgCO₂eq over its 6.0 years of use. About 22.10% of this impact comes from the usage phase, with an estimated yearly energy demand of 33.29 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 5.6 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2421D Monitor (Workplace) has a total estimated carbon footprint of 523.0 kgCO₂eq over its 6.0 years of use. About 26.20% of this impact comes from the usage phase, with an estimated yearly energy demand of 43.67 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 66.20% to the total emissions. The device weighs 5.36 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2421DC Monitor (Workplace) has a total estimated carbon footprint of 543.0 kgCO₂eq over its 6.0 years of use. About 28.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 48.36 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes nan% to the total emissions. The device weighs 5.76 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2422H Monitor (without stand) (Workplace) has a total estimated carbon footprint of 464.0 kgCO₂eq over its 6.0 years of use. About 24.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 35.4 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 69.00% to the total emissions. The device weighs 3.39 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2422H Monitor (Workplace) has a total estimated carbon footprint of 481.0 kgCO₂eq over its 6.0 years of use. About 23.10% of this impact comes from the usage phase, with an estimated yearly energy demand of 35.4 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 68.20% to the total emissions. The device weighs 5.15 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2422HA Monitor (Workplace) has a total estimated carbon footprint of 496.0 kgCO₂eq over its 6.0 years of use. About 21.20% of this impact comes from the usage phase, with an estimated yearly energy demand of 35.4 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 70.40% to the total emissions. The device weighs 5.15 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2422HE Monitor (without stand) (Workplace) has a total estimated carbon footprint of 523.0 kgCO₂eq over its 6.0 years of use. About 28.90% of this impact comes from the usage phase, with an estimated yearly energy demand of 48.02 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 64.50% to the total emissions. The device weighs 3.81 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2422HE Monitor (Workplace) has a total estimated carbon footprint of 542.0 kgCO₂eq over its 6.0 years of use. About 27.90% of this impact comes from the usage phase, with an estimated yearly energy demand of 48.02 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 64.00% to the total emissions. The device weighs 5.57 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2423 Monitor (Workplace) has a total estimated carbon footprint of 565.0 kgCO₂eq over its 6.0 years of use. About 24.50% of this impact comes from the usage phase, with an estimated yearly energy demand of 40.76 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 62.60% to the total emissions. The device weighs 5.23 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2423D Monitor (Workplace) has a total estimated carbon footprint of 538.0 kgCO₂eq over its 6.0 years of use. About 31.60% of this impact comes from the usage phase, with an estimated yearly energy demand of 49.57 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 55.50% to the total emissions. The device weighs 5.07 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2423DE Monitor (Workplace) has a total estimated carbon footprint of 587.0 kgCO₂eq over its 6.0 years of use. About 32.60% of this impact comes from the usage phase, with an estimated yearly energy demand of 56.5 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 54.80% to the total emissions. The device weighs 5.55 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2717H Monitor (Workplace) has a total estimated carbon footprint of 508.0 kgCO₂eq over its 6.0 years of use. About 27.90% of this impact comes from the usage phase, with an estimated yearly energy demand of 45.1905 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 65.50% to the total emissions. The device weighs 3.4762 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2719H Monitor (Workplace) has a total estimated carbon footprint of 577.0 kgCO₂eq over its 6.0 years of use. About 20.60% of this impact comes from the usage phase, with an estimated yearly energy demand of 37.7 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 66.10% to the total emissions. The device weighs 11.68 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2719HC Monitor (without stand) (Workplace) has a total estimated carbon footprint of 558.0 kgCO₂eq over its 6.0 years of use. About 20.40% of this impact comes from the usage phase, with an estimated yearly energy demand of 36.11 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 72.80% to the total emissions. The device weighs 4.67 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2719HC Monitor (Workplace) has a total estimated carbon footprint of 623.0 kgCO₂eq over its 6.0 years of use. About 25.30% of this impact comes from the usage phase, with an estimated yearly energy demand of 50.8 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 62.50% to the total emissions. The device weighs 11.68 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2720D Monitor (Workplace) has a total estimated carbon footprint of 563.0 kgCO₂eq over its 6.0 years of use. About 28.60% of this impact comes from the usage phase, with an estimated yearly energy demand of 51.33 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 62.50% to the total emissions. The device weighs 6.87 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2720DC Monitor (Workplace) has a total estimated carbon footprint of 579.0 kgCO₂eq over its 6.0 years of use. About 28.30% of this impact comes from the usage phase, with an estimated yearly energy demand of 52.21 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 62.70% to the total emissions. The device weighs 7.27 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2722H Monitor (Workplace) has a total estimated carbon footprint of 517.0 kgCO₂eq over its 6.0 years of use. About 24.90% of this impact comes from the usage phase, with an estimated yearly energy demand of 41.14 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 65.50% to the total emissions. The device weighs 6.27 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2722HE Monitor (Workplace) has a total estimated carbon footprint of 597.0 kgCO₂eq over its 6.0 years of use. About 28.80% of this impact comes from the usage phase, with an estimated yearly energy demand of 54.6 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 62.40% to the total emissions. The device weighs 6.81 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2723D Monitor (Workplace) has a total estimated carbon footprint of 586.0 kgCO₂eq over its 6.0 years of use. About 32.70% of this impact comes from the usage phase, with an estimated yearly energy demand of 55.76 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 52.50% to the total emissions. The device weighs 6.38 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2723DE Monitor (Workplace) has a total estimated carbon footprint of 642.0 kgCO₂eq over its 6.0 years of use. About 33.90% of this impact comes from the usage phase, with an estimated yearly energy demand of 63.98 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 51.80% to the total emissions. The device weighs 6.91 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P2723QE Monitor (Workplace) has a total estimated carbon footprint of 727.0 kgCO₂eq over its 6.0 years of use. About 34.90% of this impact comes from the usage phase, with an estimated yearly energy demand of 74.46 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 52.40% to the total emissions. The device weighs 6.88 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P3221D Monitor (Workplace) has a total estimated carbon footprint of 670.0 kgCO₂eq over its 6.0 years of use. About 27.30% of this impact comes from the usage phase, with an estimated yearly energy demand of 58.01 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 61.40% to the total emissions. The device weighs 10.7 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P3222QE Monitor (Workplace) has a total estimated carbon footprint of 739.0 kgCO₂eq over its 6.0 years of use. About 33.10% of this impact comes from the usage phase, with an estimated yearly energy demand of 78.17 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 57.00% to the total emissions. The device weighs 9.6 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P3223DE Monitor (Workplace) has a total estimated carbon footprint of 853.0 kgCO₂eq over its 6.0 years of use. About 29.90% of this impact comes from the usage phase, with an estimated yearly energy demand of 75.37 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 52.30% to the total emissions. The device weighs 11.7 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P3223QE Monitor (Workplace) has a total estimated carbon footprint of 752.0 kgCO₂eq over its 6.0 years of use. About 31.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 76.78 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 59.10% to the total emissions. The device weighs 9.9 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P3418HW Monitor (Workplace) has a total estimated carbon footprint of 729.0 kgCO₂eq over its 6.0 years of use. About 33.40% of this impact comes from the usage phase, with an estimated yearly energy demand of 77.2155 kWh. The device is used mainly in EU and was assembled in CN. The manufacturing phase contributes 55.40% to the total emissions. The device weighs 12.2805 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell P3421W Monitor (Workplace) has a total estimated carbon footprint of 688.0 kgCO₂eq over its 6.0 years of use. About 31.20% of this impact comes from the usage phase, with an estimated yearly energy demand of 68.4 kWh. The device is used mainly in EU and was assembled in China. The manufacturing phase contributes 57.50% to the total emissions. The device weighs 10.3 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Dell PowerEdge C4130 (Datacenter) has a total estimated carbon footprint of 12700.0 kgCO₂eq over its 4.0 years of use. About 90.20% of this impact comes from the usage phase, with an estimated yearly energy demand of 2767.722 kWh. The device is used mainly in EU and was assembled in EU. The manufacturing phase contributes 9.50% to the total emissions. The device weighs 20.2 kg and has 16.0GB RAM, x1 200GB 1.8in SSD storage, and 2.0 CPUs. For servers, the type is Rack, with a height of nanU."
"The Dell PowerEdge C4140 (Datacenter) has a total estimated carbon footprint of 6800.0 kgCO₂eq over its 4.0 years of use. About 80.80% of this impact comes from the usage phase, with an estimated yearly energy demand of 1325.0 kWh. The device is used mainly in EU and was assembled in EU. The manufacturing phase contributes 18.30% to the total emissions. The device weighs 22.225 kg and has 32.0GB RAM, No Hard Drive storage, and 2.0 CPUs. For servers, the type is Rack, with a height of nanU."
"The Dell PowerEdge C6420 (Datacenter) has a total estimated carbon footprint of 6510.0 kgCO₂eq over its 4.0 years of use. About 80.70% of this impact comes from the usage phase, with an estimated yearly energy demand of 1242.6 kWh. The device is used mainly in EU and was assembled in EU. The manufacturing phase contributes 18.50% to the total emissions. The device weighs 43.62 kg and has 32.0GB RAM, x4 2.5in HDD Blank storage, and 2.0 CPUs. For servers, the type is Rack, with a height of nanU."
"The Dell PowerEdge FC430 (Datacenter) has a total estimated carbon footprint of 5680.0 kgCO₂eq over its 4.0 years of use. About 70.20% of this impact comes from the usage phase, with an estimated yearly energy demand of 947.8 kWh. The device is used mainly in EU and was assembled in EU. The manufacturing phase contributes 27.70% to the total emissions. The device weighs 3.0 kg and has 16.0GB RAM, x2 200GB SSD 1.8in storage, and 2.0 CPUs. For servers, the type is Blade, with a height of nanU."
"The Dell PowerEdge FC630 (Datacenter) has a total estimated carbon footprint of 6570.0 kgCO₂eq over its 4.0 years of use. About 73.70% of this impact comes from the usage phase, with an estimated yearly energy demand of 1152.4 kWh. The device is used mainly in EU and was assembled in EU. The manufacturing phase contributes 24.50% to the total emissions. The device weighs 5.8 kg and has 16.0GB RAM, x2 300GB 2.5in HDD storage, and 2.0 CPUs. For servers, the type is Blade, with a height of nanU."
"The Dell PowerEdge FC640 (Datacenter) has a total estimated carbon footprint of 7460.0 kgCO₂eq over its 4.0 years of use. About 76.80% of this impact comes from the usage phase, with an estimated yearly energy demand of 1370.1 kWh. The device is used mainly in EU and was assembled in EU. The manufacturing phase contributes 21.70% to the total emissions. The device weighs 6.4 kg and has 16.0GB RAM, x2 300GB 2.5in HDD storage, and 2.0 CPUs. For servers, the type is Blade, with a height of nanU."
"The Dell PowerEdge FC830 (Datacenter) has a total estimated carbon footprint of 8970.0 kgCO₂eq over its 4.0 years of use. About 79.60% of this impact comes from the usage phase, with an estimated yearly energy demand of 1715.6 kWh. The device is used mainly in EU and was assembled in EU. The manufacturing phase contributes 18.90% to the total emissions. The device weighs 13.0 kg and has 32.0GB RAM, x2 300GB 2.5in HDD storage, and 2.0 CPUs. For servers, the type is Blade, with a height of nanU."
"The Dell PowerEdge M630 (Datacenter) has a total estimated carbon footprint of 6180.0 kgCO₂eq over its 4.0 years of use. About 73.10% of this impact comes from the usage phase, with an estimated yearly energy demand of 1063.464 kWh. The device is used mainly in EU and was assembled in EU. The manufacturing phase contributes 25.30% to the total emissions. The device weighs 7.0 kg and has 16.0GB RAM, x2 300GB 2.5in HDD storage, and 2.0 CPUs. For servers, the type is Blade, with a height of nanU."
"The Dell PowerEdge M640 (Datacenter) has a total estimated carbon footprint of 7000.0 kgCO₂eq over its 4.0 years of use. About 72.20% of this impact comes from the usage phase, with an estimated yearly energy demand of 1215.012 kWh. The device is used mainly in EU and was assembled in EU. The manufacturing phase contributes 23.70% to the total emissions. The device weighs 6.4 kg and has 64.0GB RAM, x2 480GB 2.5in HDD storage, and 2.0 CPUs. For servers, the type is Blade, with a height of nanU."
"The Dell PowerEdge M830 (Datacenter) has a total estimated carbon footprint of 9150.0 kgCO₂eq over its 4.0 years of use. About 81.20% of this impact comes from the usage phase, with an estimated yearly energy demand of 1770.396 kWh. The device is used mainly in EU and was assembled in EU. The manufacturing phase contributes 18.50% to the total emissions. The device weighs 14.5 kg and has 64.0GB RAM, x2 300GB 2.5in HDD storage, and 4.0 CPUs. For servers, the type is Blade, with a height of nanU."
"The Dell PowerEdge R230 (Datacenter) has a total estimated carbon footprint of 5380.0 kgCO₂eq over its 4.0 years of use. About 78.40% of this impact comes from the usage phase, with an estimated yearly energy demand of 1011.342 kWh. The device is used mainly in EU and was assembled in EU. The manufacturing phase contributes 21.20% to the total emissions. The device weighs 8.05 kg and has 16.0GB RAM, x2 1TB 2.5in HDD storage, and 1.0 CPUs. For servers, the type is Rack, with a height of nanU."
